,P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL,CE8.Decay.Flag,CE8.Decay.Time,CE8.SL.Flag,CE8.SL.Time,CE8.PNL,CE9.Decay.Flag,CE9.Decay.Time,CE9.PNL,CE9.SL.Flag,CE9.SL.Time,CE10.Decay.Flag,CE10.Decay.Time,CE10.SL.Flag,CE10.SL.Time,CE10.PNL,CE11.Decay.Flag,CE11.Decay.Time,CE11.PNL,CE11.SL.Flag,CE11.SL.Time,CE12.Decay.Flag,CE12.Decay.Time,CE12.SL.Flag,CE12.SL.Time,CE12.PNL,CE13.Decay.Flag,CE13.Decay.Time,CE13.SL.Flag,CE13.SL.Time,CE13.PNL,CE14.Decay.Flag,CE14.Decay.Time,CE14.SL.Flag,CE14.SL.Time,CE14.PNL,CE15.Decay.Flag,CE15.Decay.Time,CE15.SL.Flag,CE15.SL.Time,CE15.PNL,CE16.Decay.Flag,CE16.Decay.Time,CE16.SL.Flag,CE16.SL.Time,CE16.PNL,CE17.Decay.Flag,CE17.Decay.Time,CE17.PNL,PE8.Decay.Flag,PE8.Decay.Time,PE8.SL.Flag,PE8.SL.Time,PE8.PNL,PE9.Decay.Flag,PE9.Decay.Time,PE9.SL.Flag,PE9.SL.Time,PE9.PNL,PE10.Decay.Flag,PE10.Decay.Time,PE10.PNL
5131,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,40,40,0.4,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,65.8,True,2019-03-07 14:11:00,-19.47,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,76.71999999999998,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5132,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,40,40,0.5,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,124.11,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,76.71999999999998,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5133,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,40,40,0.6,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,124.11,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,137.97,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5134,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,40,40,0.7,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,124.11,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,137.97,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5135,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,40,40,0.8,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,124.11,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,137.97,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5136,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.0,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,23.779999999999998,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,31.175,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5137,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.05,2019-03-07,Thursday,3,09:48:00,11081.15,11050CE,16.4,22.33,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,10950PE,1.0,1.5225,False,,0.94,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5138,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.1,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,23.779999999999998,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11000PE,6.05,8.772499999999999,False,,5.9395,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5139,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.15,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,23.779999999999998,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,31.175,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.2,2019-03-07,Thursday,3,09:48:00,11081.15,11000CE,47.0,64.09,True,2019-03-07 14:11:00,-19.47,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11000PE,6.05,9.3525,False,,5.9395,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5141,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.25,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,68.14999999999999,True,2019-03-07 14:16:00,-23.120000000000005,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,31.175,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5142,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.3,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,68.14999999999999,True,2019-03-07 14:16:00,-23.120000000000005,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,31.175,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5143,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.4,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,68.14999999999999,True,2019-03-07 14:16:00,-23.120000000000005,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,79.46,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5144,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.5,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,128.54250000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,79.46,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5145,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.6,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,128.54250000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,142.89749999999998,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5146,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.7,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,128.54250000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,142.89749999999998,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5147,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,45,45,0.8,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,128.54250000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,142.89749999999998,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5148,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.0,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,24.599999999999998,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,32.25,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5149,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.05,2019-03-07,Thursday,3,09:48:00,11081.15,11050CE,16.4,23.1,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,10950PE,1.0,1.5750000000000002,False,,0.94,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.1,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,24.599999999999998,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11000PE,6.05,9.075,False,,5.9395,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5151,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.15,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,24.599999999999998,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,32.25,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5152,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.2,2019-03-07,Thursday,3,09:48:00,11081.15,11000CE,47.0,66.30000000000001,True,2019-03-07 14:16:00,-23.120000000000005,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11000PE,6.05,9.675,False,,5.9395,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5153,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.25,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,70.5,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,32.25,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5154,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.3,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,70.5,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,32.25,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5155,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.4,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,70.5,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,82.19999999999999,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5156,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.5,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,132.97500000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,82.19999999999999,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5157,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.6,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,132.97500000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,147.825,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5158,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.7,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,132.97500000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,147.825,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5159,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,50,50,0.8,2019-03-07,Thursday,3,09:48:00,11085.95,10950CE,88.65,132.97500000000002,True,2019-03-07 14:30:00,-45.73649999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11150PE,98.55,147.825,False,,8.114499999999994,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.0,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,26.24,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,34.4,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5161,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.05,2019-03-07,Thursday,3,09:48:00,11081.15,11050CE,16.4,24.64,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,10950PE,1.0,1.6800000000000002,False,,0.94,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5162,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.1,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,26.24,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11000PE,6.05,9.68,False,,5.9395,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5163,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.15,2019-03-07,Thursday,3,09:48:00,11085.95,11050CE,16.4,26.24,True,2019-03-07 14:30:00,-15.164,True,2019-03-07 14:49:00,False,,13.735999999999999,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,34.4,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5164,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.2,2019-03-07,Thursday,3,09:48:00,11081.15,11000CE,47.0,70.72000000000001,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11000PE,6.05,10.32,False,,5.9395,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5165,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.25,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,75.2,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,34.4,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5166,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.3,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,75.2,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11050PE,21.5,34.4,False,,21.235,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5167,NRE,NIFTY,09:48:00,15:25:00,SELL,CC,60,60,0.4,2019-03-07,Thursday,3,09:48:00,11085.95,11000CE,47.0,75.2,True,2019-03-07 14:30:00,-34.67,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,11100PE,54.8,87.68,False,,17.252,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
